n_samples,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
90,-0.54931640625,-0.3662109375,0.06103515625,10.28900390625,-0.5700146484375,0.5029541015625
91,-0.6103515625,-0.3662109375,0.06103515625,10.25068359375,-0.5604345703125,0.49337402343750003
92,-0.6103515625,-0.42724609375,0.1220703125,10.346484375000001,-0.5508544921875,0.5077441406250001
93,-0.6103515625,-0.48828125,0.1220703125,10.427915039062501,-0.5604345703125,0.4981640625
94,-0.54931640625,-0.30517578125,0.0,10.360854492187501,-0.5508544921875,0.4981640625
95,-0.54931640625,-0.30517578125,0.0,10.241103515625001,-0.5269042968750001,0.536484375
96,-0.54931640625,-0.3662109375,0.0,10.2363134765625,-0.5508544921875,0.5269042968750001
97,-0.6103515625,-0.3662109375,0.06103515625,10.32732421875,-0.5412744140625,0.4646337890625
98,-0.6103515625,-0.30517578125,0.1220703125,10.375224609375001,-0.536484375,0.488583984375
99,-0.67138671875,-0.42724609375,0.0,10.3848046875,-0.5412744140625,0.47900390625
100,-0.67138671875,-0.3662109375,-0.06103515625,10.298583984375,-0.5460644531250001,0.4646337890625
101,-0.6103515625,-0.3662109375,0.06103515625,10.28900390625,-0.5460644531250001,0.4742138671875
102,-0.48828125,-0.30517578125,0.06103515625,10.308164062500001,-0.5508544921875,0.4742138671875
103,-0.54931640625,-0.3662109375,0.0,10.3129541015625,-0.5652246093750001,0.488583984375
104,-0.67138671875,-0.3662109375,0.1220703125,10.3416943359375,-0.5795947265625,0.5029541015625
105,-0.54931640625,-0.3662109375,0.18310546875,10.317744140625,-0.5795947265625,0.51732421875
106,-0.67138671875,-0.3662109375,0.1220703125,10.308164062500001,-0.5700146484375,0.5125341796875
107,-0.6103515625,-0.42724609375,0.06103515625,10.260263671875,-0.5700146484375,0.5604345703125
108,-0.6103515625,-0.42724609375,0.06103515625,10.293793945312501,-0.5748046875,0.536484375
109,-0.67138671875,-0.30517578125,0.1220703125,10.356064453125,-0.5700146484375,0.5269042968750001
110,-0.6103515625,-0.30517578125,0.1220703125,10.356064453125,-0.5604345703125,0.5221142578125
111,-0.6103515625,-0.30517578125,0.0,10.308164062500001,-0.5604345703125,0.49337402343750003
112,-0.54931640625,-0.3662109375,0.06103515625,10.26984375,-0.536484375,0.4981640625
113,-0.6103515625,-0.3662109375,0.1220703125,10.293793945312501,-0.536484375,0.4981640625
114,-0.6103515625,-0.42724609375,0.06103515625,10.3512744140625,-0.5508544921875,0.4981640625
115,-0.67138671875,-0.48828125,0.06103515625,10.356064453125,-0.5412744140625,0.469423828125
116,-0.6103515625,-0.30517578125,0.0,10.308164062500001,-0.536484375,0.488583984375
117,-0.54931640625,-0.3662109375,0.06103515625,10.26984375,-0.5412744140625,0.488583984375
118,-0.54931640625,-0.42724609375,0.1220703125,10.3129541015625,-0.5508544921875,0.4981640625
119,-0.6103515625,-0.42724609375,0.1220703125,10.36564453125,-0.5269042968750001,0.4742138671875
120,-0.67138671875,-0.3662109375,0.06103515625,10.332114257812501,-0.5412744140625,0.488583984375
121,-0.6103515625,-0.3662109375,0.0,10.2842138671875,-0.5700146484375,0.488583984375
122,-0.67138671875,-0.42724609375,0.06103515625,10.3129541015625,-0.5460644531250001,0.536484375
123,-0.6103515625,-0.42724609375,0.1220703125,10.3225341796875,-0.5460644531250001,0.5269042968750001
124,-0.6103515625,-0.3662109375,0.06103515625,10.336904296875,-0.5652246093750001,0.5412744140625
125,-0.6103515625,-0.3662109375,0.0,10.32732421875,-0.5460644531250001,0.5412744140625
126,-0.6103515625,-0.3662109375,0.0,10.28900390625,-0.5700146484375,0.5269042968750001
127,-0.6103515625,-0.42724609375,0.06103515625,10.293793945312501,-0.55564453125,0.4550537109375
128,-0.48828125,-0.30517578125,0.06103515625,10.3129541015625,-0.5795947265625,0.5316943359375
129,-0.6103515625,-0.3662109375,0.06103515625,10.3033740234375,-0.5652246093750001,0.49337402343750003
