part,samples,accX,accY,accZ,gyroX,gyroY,gyroZ
x_a,1312,-2053.0,-32.0,-71.0,-3.0,-9.0,-9.0
x_a,1313,-2050.0,-47.0,-81.0,3.0,-5.0,-7.0
x_a,1314,-2062.0,-33.0,-72.0,3.0,-10.0,-5.0
x_a,1315,-2055.0,-31.0,-71.0,6.0,-6.0,-6.0
x_a,1316,-2054.0,-25.0,-80.0,-1.0,2.0,-4.0
x_a,1317,-2049.0,-36.0,-93.0,2.0,-5.0,-4.0
x_a,1318,-2062.0,-39.0,-88.0,-1.0,-4.0,-5.0
x_a,1319,-2050.0,-29.0,-80.0,4.0,-9.0,-7.0
x_a,1320,-2055.0,-30.0,-79.0,0.0,-4.0,-5.0
x_a,1321,-2039.0,-28.0,-91.0,6.0,-5.0,-3.0
x_a,1322,-2046.0,-34.0,-84.0,-1.0,-3.0,-3.0
x_a,1323,-2045.0,-39.0,-80.0,2.0,-4.0,-5.0
x_a,1324,-2048.0,-34.0,-86.0,1.0,-2.0,0.0
x_a,1325,-2061.0,-30.0,-61.0,-2.0,-5.0,-4.0
x_a,1326,-2051.0,-27.0,-80.0,1.0,-8.0,-5.0
x_a,1327,-2052.0,-35.0,-83.0,2.0,-2.0,-7.0
x_a,1328,-2048.0,-25.0,-66.0,-1.0,-4.0,-6.0
x_a,1329,-2044.0,-17.0,-77.0,6.0,-9.0,-3.0
x_a,1330,-2056.0,-36.0,-74.0,3.0,0.0,-6.0
x_a,1331,-2048.0,-18.0,-72.0,-2.0,-2.0,-5.0
x_a,1332,-2058.0,-26.0,-78.0,-2.0,-6.0,-6.0
x_a,1333,-2054.0,-22.0,-68.0,7.0,-4.0,-2.0
x_a,1334,-2045.0,-41.0,-73.0,3.0,-3.0,-4.0
x_a,1335,-2050.0,-40.0,-79.0,4.0,-4.0,-3.0
x_a,1336,-2045.0,-44.0,-71.0,7.0,-8.0,-4.0
x_a,1337,-2051.0,-25.0,-67.0,-7.0,-2.0,-3.0
x_a,1338,-2055.0,-32.0,-77.0,4.0,-2.0,-1.0
x_a,1339,-2043.0,-35.0,-77.0,2.0,-4.0,-2.0
x_a,1340,-2065.0,-38.0,-78.0,3.0,-3.0,-4.0
x_a,1341,-2054.0,-34.0,-79.0,5.0,-1.0,-5.0
x_a,1342,-2054.0,-35.0,-71.0,-5.0,-5.0,-2.0
x_a,1343,-2043.0,-22.0,-81.0,4.0,0.0,-6.0
x_a,1344,-2053.0,-26.0,-81.0,6.0,2.0,3.0
x_a,1345,-2052.0,-31.0,-69.0,2.0,-1.0,-4.0
x_a,1346,-2067.0,-29.0,-80.0,3.0,-6.0,-3.0
x_a,1347,-2045.0,-34.0,-81.0,4.0,-1.0,-2.0
x_a,1348,-2059.0,-26.0,-64.0,3.0,-6.0,-2.0
x_a,1349,-2053.0,-33.0,-70.0,-4.0,-4.0,1.0
x_a,1350,-2049.0,-34.0,-79.0,0.0,-8.0,-4.0
x_a,1351,-2051.0,-21.0,-85.0,3.0,-11.0,-3.0
x_a,1352,-2058.0,-28.0,-86.0,1.0,-6.0,-8.0
x_a,1353,-2057.0,-40.0,-78.0,-2.0,-7.0,-5.0
x_a,1354,-2063.0,-28.0,-84.0,2.0,-2.0,-6.0
x_a,1355,-2059.0,-21.0,-77.0,2.0,-4.0,-5.0
x_a,1356,-2051.0,-31.0,-85.0,2.0,-5.0,-3.0
x_a,1357,-2048.0,-37.0,-88.0,-3.0,-3.0,-6.0
x_a,1358,-2048.0,-43.0,-72.0,-1.0,-4.0,-3.0
x_a,1359,-2062.0,-28.0,-88.0,-2.0,-5.0,-5.0
x_a,1360,-2057.0,-28.0,-61.0,1.0,-7.0,-5.0
x_a,1361,-2055.0,-37.0,-79.0,3.0,-6.0,-3.0
x_a,1362,-2042.0,-25.0,-73.0,1.0,0.0,-4.0
x_a,1363,-2046.0,-33.0,-71.0,1.0,0.0,-5.0
x_a,1364,-2043.0,-25.0,-66.0,4.0,3.0,-2.0
x_a,1365,-2044.0,-37.0,-89.0,-6.0,-5.0,-6.0
x_a,1366,-2050.0,-38.0,-73.0,5.0,-5.0,-2.0
x_a,1367,-2057.0,-28.0,-76.0,-1.0,-8.0,1.0
x_a,1368,-2056.0,-27.0,-73.0,2.0,-5.0,3.0
x_a,1369,-2047.0,-35.0,-76.0,3.0,-7.0,-2.0
x_a,1370,-2047.0,-21.0,-78.0,-1.0,-5.0,-4.0
x_a,1371,-2050.0,-29.0,-82.0,0.0,-3.0,-8.0
x_a,1372,-2051.0,-26.0,-79.0,-5.0,-6.0,-8.0
x_a,1373,-2052.0,-38.0,-91.0,12.0,-7.0,-5.0
x_a,1374,-2054.0,-28.0,-71.0,-3.0,-6.0,-7.0
x_a,1375,-2057.0,-29.0,-83.0,-1.0,-1.0,-3.0
x_a,1376,-2059.0,-27.0,-80.0,6.0,-10.0,-5.0
x_a,1377,-2055.0,-23.0,-76.0,-5.0,-5.0,-4.0
x_a,1378,-2045.0,-20.0,-85.0,-3.0,-6.0,0.0
x_a,1379,-2057.0,-24.0,-68.0,0.0,-2.0,-1.0
x_a,1380,-2051.0,-36.0,-63.0,-3.0,-6.0,-3.0
x_a,1381,-2058.0,-31.0,-89.0,9.0,-10.0,-5.0
x_a,1382,-2052.0,-30.0,-63.0,4.0,0.0,-4.0
x_a,1383,-2041.0,-20.0,-80.0,-1.0,-7.0,-2.0
x_a,1384,-2060.0,-27.0,-65.0,0.0,-2.0,-8.0
x_a,1385,-2044.0,-38.0,-80.0,6.0,-6.0,-6.0
x_a,1386,-2055.0,-23.0,-78.0,-1.0,1.0,-6.0
x_a,1387,-2052.0,-26.0,-59.0,-2.0,-3.0,-2.0
x_a,1388,-2053.0,-30.0,-78.0,2.0,-5.0,-2.0
x_a,1389,-2058.0,-26.0,-77.0,5.0,-3.0,-5.0
x_a,1390,-2057.0,-25.0,-79.0,-6.0,-5.0,-6.0
x_a,1391,-2040.0,-32.0,-74.0,2.0,-6.0,-5.0
x_a,1392,-2050.0,-35.0,-76.0,-4.0,-9.0,-1.0
x_a,1393,-2062.0,-31.0,-79.0,6.0,-4.0,-4.0
x_a,1394,-2055.0,-23.0,-68.0,3.0,-1.0,-6.0
x_a,1395,-2052.0,-31.0,-79.0,7.0,-4.0,-6.0
x_a,1396,-2043.0,-33.0,-90.0,8.0,-9.0,-2.0
x_a,1397,-2045.0,-40.0,-83.0,3.0,-5.0,-3.0
x_a,1398,-2043.0,-24.0,-74.0,-2.0,-2.0,-3.0
x_a,1399,-2049.0,-40.0,-69.0,4.0,-4.0,-5.0
x_a,1400,-2050.0,-20.0,-74.0,0.0,-3.0,-2.0
x_a,1401,-2059.0,-32.0,-72.0,4.0,-2.0,-1.0
